;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º 
1B01510: Seixal;6812;5573;5101;4211;4311;4876;5087;6304;6290;7749;6451;6086;6165;5371;? ?;4506;3915;4008;4571;5975;6171;6310;6818;6041;6016;5711;5299;4585;4593;4567;5025;5610;6226;8064;6913;6235;5821;5717;5033;4438;4275
1B01511: Sesimbra;25649;19814;17674;11494;10703;12452;15013;24155;30428;41877;35234;29647;25353;18794;15112;11727;6920;9837;8858;21700;28557;39889;35108;25349;19831;22546;13193;10535;7298;9785;9243;20676;27723;41799;37245;26736;19489;17893;8578;8787;4660
1B01512: Setúbal;38465;34326;30360;22231;19598;20281;25328;34733;43376;56008;49255;38663;38949;31504;29610;20729;19415;23859;22534;34103;42214;53188;45906;34516;34999;34457;28710;20247;19952;20375;23590;33812;41428;55778;48070;35253;31777;29155;18347;16629;14256
1C: Alentejo;311155;279945;197922;148543;128749;159306;195274;271580;359896;527815;389997;321698;299333;249260;208538;155369;116085;158764;170012;284728;352768;491748;384490;303224;255776;280033;174004;155131;113861;133545;144763;246817;316256;469561;356898;292686;239451;231792;153039;132537;88351
1C1: Alentejo Litoral;115105;100939;63732;45224;39406;44539;57720;89018;145196;241872;182128;131435;108813;89918;68968;46309;32862;39412;51858;107476;142811;224075;181976;130272;95628;102669;55674;49529;32750;32096;37084;80903;129219;209192;165416;122260;86431;79742;47362;38729;26057
1C11501: Alcácer do Sal;7724;6340;3729;2850;1947;2823;3572;6124;9870;18803;12237;9654;8656;6087;4416;2779;2206;2758;3394;6771;9005;16035;11921;8386;7157;6549;4114;2975;2000;2376;2350;4288;6503;14965;9621;7315;4972;4442;2778;2416;1686
1C11505: Grândola;37092;30021;21285;15764;13741;14515;18710;29277;54492;97745;76582;54041;36694;28379;23660;16101;11373;12703;14984;33155;53046;87031;75779;52223;31763;35337;18972;14112;10871;10044;12291;30376;51428;86104;73702;53353;32343;29018;17132;13915;8436
1C10211: Odemira;36475;32704;19173;11852;10183;11822;15339;28602;45196;66724;53252;37483;35261;29844;21882;11971;8222;10848;12538;30821;45187;66874;54633;39886;32044;34374;17809;12776;9620;9788;10924;26024;42264;62122;48355;37251;28627;27282;14569;11784;8498
1C11509: Santiago do Cacém;15769;15813;9900;7738;6561;8539;10152;10707;15741;30107;20629;15580;13654;13041;9530;7529;5872;6307;9413;17291;17337;26678;20818;16075;13025;13931;7061;9230;5658;5727;6946;11139;16183;26777;21222;16325;13253;11546;7012;6998;4067
1C11513: Sines;18045;16061;9645;7020;6974;6840;9947;14308;19897;28493;19428;14677;14548;12567;9480;7929;5189;6796;11529;19438;18236;27457;18825;13702;11639;12478;7718;10436;4601;4161;4573;9076;12841;19224;12516;8016;7236;7454;5871;3616;3370
1C2: Baixo Alentejo;47733;41402;31723;26603;19862;25321;32744;40713;49407;69451;48869;45638;46510;38471;32232;25671;18782;28295;28373;38967;49870;60549;46122;40590;36346;36817;28746;23814;17531;20541;25689;34890;39055;60163;43739;37689;31700;30236;23261;21544;13668
1C20201: Aljustrel;1371;1186;1121;1077;822;669;994;1035;1115;1898;1198;1174;? ?;1002;? ?;816;? ?;? ?;? ?;1092;1134;1769;? ?;1088;? ?;1007;? ?;667;? ?;588;685;862;? ?;? ?;? ?;? ?;? ?;612;? ?;? ?;402
1C20202: Almodôvar;2265;1691;1373;961;1083;919;1424;1661;2278;4401;3187;2714;1909;1923;1637;1307;1463;1246;1231;1811;2338;3718;3113;2080;2077;2217;1609;1234;1043;881;1019;1353;1687;2971;2469;2088;1308;1198;1112;1287;1327
1C20203: Alvito;828;353;? ?;224;148;217;481;556;1205;1561;838;746;? ?;? ?;591;380;264;637;511;889;1289;1836;1416;991;748;852;355;509;308;391;499;607;1189;1140;1211;1229;781;? ?;503;534;? ?
1C20204: Barrancos;257;473;? ?;179;219;208;107;396;277;439;134;365;? ?;? ?;? ?;109;? ?;? ?;? ?;196;71;599;? ?;553;? ?;346;? ?;166;? ?;185;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?
1C20205: Beja;23275;20491;16944;12996;9125;13236;15814;19363;22404;27281;19315;19763;22859;18245;15770;11652;7042;13926;13162;18542;22611;20000;15287;15260;15236;13759;13550;10595;6447;9947;11743;15312;14600;22025;15073;15144;14105;12883;10366;9006;5339
1C20206: Castro Verde;2365;2094;1506;1122;930;919;1241;1849;2440;3028;2617;2586;2415;1949;1587;1218;942;1186;1273;1851;2750;3847;2665;2680;2140;2157;1494;1354;1383;1001;1225;1850;2126;3413;2610;2344;1657;1332;1299;1201;834
1C20207: Cuba;731;444;170;349;152;224;554;706;632;1288;733;734;696;583;478;629;462;369;475;373;1137;1568;1249;1013;521;652;350;547;368;249;334;745;1034;2119;1393;849;600;817;238;776;455
1C20208: Ferreira do Alentejo;2621;2164;1548;1292;1187;1008;1614;2245;2975;4725;3182;3015;3227;1986;1460;1208;925;1822;1601;2091;2611;3973;2588;2990;1769;1740;855;892;405;627;1477;1793;1966;3209;2247;2089;1169;1191;833;541;306
1C20209: Mértola;4736;4944;3489;3001;2307;2723;3091;4596;6289;9584;6620;5269;4223;4552;4040;3111;2484;2937;2769;4412;5979;8688;6964;5257;4542;5280;3853;2828;2518;2121;2771;4701;5783;9749;7497;5409;4388;4611;3093;2978;1318
1C20210: Moura;3061;2466;1563;1571;1226;1636;1920;2801;3204;4655;3588;2653;2777;2655;2002;1835;1502;1912;1997;2487;3464;5014;4095;3086;2874;3206;2089;2010;2160;1879;2327;2745;3701;5455;4128;3205;2578;2626;1894;2163;1322
1C20212: Ourique;1404;1131;752;682;719;700;832;1090;1619;2266;1968;1306;1372;1054;? ?;581;? ?;602;812;1010;1436;1996;1889;1066;1149;880;677;377;288;200;? ?;? ?;1363;1826;1329;734;512;180;511;615;543
1C20213: Serpa;2954;2157;1543;2095;1143;1754;2928;2665;2948;5711;3489;3650;3000;2413;1492;1823;1149;1599;1928;2651;3199;5075;3752;2591;2221;2895;1662;1474;1103;1441;1468;2355;2539;3805;2544;1957;1769;1841;1134;891;787
1C20214: Vidigueira;1865;1808;1229;1054;801;1108;1744;1750;2021;2614;2000;1663;1789;1400;1476;1002;1232;1259;1612;1562;1851;2466;1359;1935;1655;1826;1273;1161;786;1031;1516;1440;1680;2469;1768;1354;1708;1686;1125;845;639
1C3: Alto Alentejo;43257;40582;29984;22535;19833;28365;31281;41880;51057;72933;52304;46790;40720;37008;33313;24294;17937;29034;26025;40127;49888;69998;51612;40925;33181;47364;26118;25285;17981;25303;25236;41385;46717;71519;50712;43712;37862;40646;27270;24852;14907
1C31201: Alter do Chão;3183;3502;2659;1096;1125;2605;2490;3534;3260;2599;2849;3813;3572;3308;2763;1703;448;2649;2091;3726;3572;3208;3346;3163;2509;3961;2005;1585;751;2403;2482;3628;3272;2881;3006;3417;2682;3123;2143;1346;583
1C31202: Arronches;1126;? ?;? ?;? ?;? ?;? ?;? ?;? ?;1280;2440;927;1271;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;1641;2308;2000;1185;860;1091;? ?;? ?;? ?;? ?;? ?;? ?;1380;2379;2002;1237;? ?;? ?;? ?;? ?;? ?
1C31203: Avis;1348;1392;1503;955;866;917;807;1052;2239;3128;2737;1924;1485;1694;1530;1232;1325;1223;1065;1430;1875;2603;1697;1170;779;1735;1107;1449;1199;630;858;1354;1765;2796;1537;1349;1707;1395;1865;1450;545
1C31204: Campo Maior;366;459;345;287;229;290;306;? ?;432;575;459;438;347;300;398;292;168;262;354;231;234;352;396;462;154;249;480;166;153;168;249;317;253;646;362;317;570;633;507;498;415
1C31205: Castelo de Vide;4000;3831;2853;1962;736;1366;1500;4630;4738;7840;5441;4666;4051;3845;3080;2258;723;1443;1597;3436;3722;5641;4265;2811;2558;3528;1167;871;415;1347;1528;3544;3939;7082;4555;4013;3039;3401;2399;1747;753
1C31206: Crato;1445;1290;946;690;? ?;841;857;1177;1389;2531;1361;1570;1238;990;1054;728;148;? ?;? ?;1285;1522;2802;1626;1373;1097;1410;712;803;89;920;831;1286;1277;2781;1981;1325;1058;1541;377;400;89
1C31207: Elvas;13284;12907;9507;7723;7409;9532;10789;11675;14116;19187;12816;12328;11670;10499;10958;7064;6067;9117;8000;10925;14638;20302;12002;9576;8496;13936;8016;7531;6062;7544;6577;10441;13590;20631;12997;11696;9885;10204;8003;7494;4127
1C31208: Fronteira;697;673;370;128;281;500;663;764;926;1317;573;645;526;457;273;125;109;196;598;661;789;971;705;660;564;496;169;66;28;? ?;468;428;534;911;530;488;435;312;117;? ?;? ?
1C31209: Gavião;558;519;287;195;493;513;215;762;793;1215;1190;816;451;616;294;? ?;163;423;299;666;778;1125;1023;588;688;550;157;? ?;? ?;87;268;353;507;1219;817;679;440;318;223;? ?;? ?
1C31210: Marvão;2919;2820;1626;1361;1225;1826;2012;3531;4170;6910;5262;3341;3272;2990;2429;1752;1475;2606;2206;3589;4407;7280;5792;4632;3135;4203;1916;2175;1537;2131;2409;4375;4439;7013;5293;4094;3340;4073;1564;2246;1231
1C31211: Monforte;798;881;? ?;? ?;300;? ?;? ?;732;1005;1904;973;827;? ?;? ?;? ?;? ?;? ?;? ?;271;? ?;848;1045;828;760;674;856;? ?;? ?;? ?;480;? ?;? ?;896;1475;1197;805;? ?;? ?;? ?;? ?;? ?
1C31212: Nisa;2036;1762;1354;1032;1139;1867;1616;2268;2153;3242;2507;2221;1874;1514;1669;1777;994;1970;1522;2111;2431;3733;3150;2349;1487;2262;1254;1729;1160;1570;1705;2582;2292;3651;2758;2102;1688;2317;1332;1772;894
1C31213: Ponte de Sor;7097;5578;3954;3131;2776;3641;4852;6148;9433;12543;10040;8175;6400;5456;4215;3414;2836;3904;3352;5498;8155;11248;8373;6889;5533;7324;4071;4161;2910;4449;2967;5985;8040;10866;8796;8216;7282;6838;4509;4188;3559
1C31214: Portalegre;4187;3743;3022;2773;2516;3057;3762;4244;4818;6827;4581;4391;3575;3837;3387;2988;2882;3025;3399;4529;4847;6573;6115;4977;4486;5505;3870;3332;2799;2893;3585;4907;4178;6668;4463;3693;3826;4265;2972;2645;1974
1C31215: Sousel;213;? ?;226;265;? ?;427;209;273;305;675;588;364;564;235;270;91;? ?;424;149;312;429;807;294;330;161;258;265;136;44;182;160;176;355;520;418;281;147;245;113;? ?;? ?
1C4: Alentejo Central;105060;97022;72483;54181;49648;61081;73529;99969;114236;143559;106696;97835;103290;83863;74025;59095;46504;62023;63756;98158;110199;137126;104780;91437;90621;93183;63466;56503;45599;55605;56754;89639;101265;128687;97031;89025;83458;81168;55146;47412;33719
1C40701: Alandroal;1716;1423;1085;705;808;872;950;1514;2428;4010;2354;1895;1531;986;871;683;386;857;925;1269;1784;3414;1922;1648;836;1244;490;435;514;682;539;797;1584;2267;1547;1208;727;744;453;506;325
1C40702: Arraiolos;2824;2448;1782;1086;527;1451;1827;2087;3107;4663;2916;2382;2226;2048;1983;1487;668;1996;1593;2221;2751;4296;2864;2223;2103;1956;1563;1270;931;1459;1294;2074;2596;4245;2545;2524;2238;2333;1166;1028;974
1C40703: Borba;191;120;171;129;49;? ?;? ?;172;346;641;385;228;100;? ?;? ?;? ?;? ?;174;187;258;261;189;253;168;181;114;141;? ?;? ?;243;343;297;361;318;? ?;172;125;95;57;? ?;169
1C40704: Estremoz;8130;6991;5078;3693;3549;4339;5268;6885;7779;10389;7038;6160;7213;5435;5113;4197;3572;4664;4711;6900;6844;9104;5455;5630;5630;6035;3382;2712;2174;2758;3695;5135;6281;7249;4288;4690;4285;5024;2796;2025;1159
1C40705: Évora;70831;65986;50816;38984;36386;42985;51369;68726;73761;83773;66939;63872;70954;58780;51494;41413;33834;41279;44348;68420;75611;85503;68005;60962;64410;64176;46635;41881;33615;39478;40751;63536;67022;79320;63658;59097;57771;54928;40195;33460;23603
1C40706: Montemor-o-Novo;5134;4946;3388;2607;1952;2158;3503;4690;5375;9148;6105;5600;3939;2971;2845;2463;1625;2369;2421;4110;4025;6138;4662;4092;3595;3331;2196;1856;1717;1968;2069;3265;3995;5804;4205;3771;3393;3090;1620;1691;1819
1C40707: Mora;461;450;244;139;193;307;246;403;708;1306;938;764;312;? ?;? ?;? ?;? ?;235;187;275;427;688;508;434;317;449;270;? ?;? ?;? ?;? ?;260;349;641;? ?;410;231;? ?;? ?;232;134
1C40708: Mourão;1313;1311;874;560;256;643;824;1211;2114;3499;1925;1386;1369;978;772;738;486;1153;776;1263;2390;3206;2049;1573;1236;1872;697;824;559;865;429;1320;2153;3298;2148;1555;939;914;483;485;327
1C40709: Portel;304;405;220;? ?;? ?;? ?;286;525;849;1654;736;590;589;495;? ?;391;? ?;388;399;466;547;938;741;732;570;572;392;? ?;? ?;393;342;553;892;1180;833;689;560;648;386;397;330
1C40710: Redondo;1599;1315;843;555;? ?;767;811;1324;1871;2935;1621;1528;1565;1142;1134;986;695;1186;521;1313;1750;3477;2326;1800;1512;1511;842;793;625;816;909;1611;2131;3749;2613;2076;1858;2025;1022;965;767
1C40711: Reguengos de Monsaraz;7355;6761;4757;2614;2445;3824;4675;7061;9569;12718;9751;8489;7698;6091;4954;3207;2084;4250;3823;6494;8110;11362;9268;7056;5735;6895;3980;3140;2271;3253;3013;5828;7978;11644;8859;7613;6252;6583;3990;3276;2086
1C40712: Vendas Novas;592;323;495;664;792;483;858;853;877;639;778;559;601;443;470;400;332;336;? ?;686;387;712;1067;835;621;305;? ?;? ?;456;407;592;867;686;805;517;918;636;? ?;? ?;? ?;478
1C40713: Viana do Alentejo;489;356;139;? ?;? ?;131;? ?;186;273;578;865;616;657;267;? ?;? ?;? ?;102;? ?;210;265;873;643;300;243;224;? ?;? ?;? ?;? ?;? ?;246;420;1211;516;446;441;279;? ?;- -;- -
1C40714: Vila Viçosa;4121;4187;2591;2028;2036;2828;2781;4332;5179;7606;4345;3766;4536;3835;3414;2614;2076;3034;3290;4273;5047;7226;5017;3984;3632;4499;2480;2595;2021;2994;2559;3850;4817;6956;4602;3856;4002;3695;2385;2830;1548
15: Algarve;2008869;1841359;1138922;774754;570502;629549;846667;2086169;2426592;3223008;2838510;2327768;2076391;1666842;1251876;818080;563350;614357;820518;2071317;2402161;3181862;2805543;2239992;1968201;1834975;1092606;782376;546804;550489;750505;1907121;2349110;3228888;2861164;2233405;1862959;1622076;866401;586772;343900
150: Algarve;2008869;1841359;1138922;774754;570502;629549;846667;2086169;2426592;3223008;2838510;2327768;2076391;1666842;1251876;818080;563350;614357;820518;2071317;2402161;3181862;2805543;2239992;1968201;1834975;1092606;782376;546804;550489;750505;1907121;2349110;3228888;2861164;2233405;1862959;1622076;866401;586772;343900
1500801: Albufeira;752648;672050;361569;227630;148363;191205;257165;800544;924271;1202219;1097355;917661;823933;646979;437817;256084;162633;207650;271391;818737;922830;1206459;1095636;893667;793219;746840;389348;256652;169600;181135;225321;731935;886180;1212484;1090373;868862;740270;644181;294834;171374;91991
1500802: Alcoutim;1264;1107;711;683;? ?;616;794;1170;1722;2052;1938;1563;1241;? ?;? ?;734;? ?;? ?;? ?;1122;1612;2139;1889;1390;1143;1422;1119;840;810;641;? ?;1411;1630;2751;2067;1473;1351;1118;734;? ?;346
1500803: Aljezur;18625;18405;9632;5192;2885;4030;7570;18314;21321;29669;22879;17701;19821;16975;10116;5068;2838;4555;6762;16554;19932;27526;20551;15647;15376;15077;8186;3731;2297;3524;4976;13937;16045;24584;19632;14801;12172;11547;6209;3749;2305
1500804: Castro Marim;6505;7401;3884;4191;4040;2800;3542;10206;20241;35479;28917;18079;9476;5975;5352;6621;4838;3985;3351;13033;19993;33578;26441;17247;12721;14998;10716;10365;7274;6488;8040;12271;19450;31064;24371;21032;14445;12268;8584;9643;6879
1500805: Faro;74688;70159;55547;43878;37506;36749;43553;67025;78260;93260;73692;69426;66280;61963;53916;43836;34587;35056;42679;63629;71641;84702;72506;63840;61288;57878;50001;38447;32194;32918;39325;56349;65811;83125;72952;63776;61058;56178;39369;27507;15885
1500806: Lagoa;174423;164528;96918;59136;39586;47952;65875;187272;199907;276722;243206;195046;173065;142075;108860;67112;36582;41582;57884;185801;198960;282010;257409;193784;166796;155075;80842;59099;33705;37421;55815;176572;222133;298951;264366;203611;164064;155823;64291;46298;25958
1500807: Lagos;170708;154590;106283;63099;46864;51854;71908;173896;197118;258500;224304;188941;169652;134544;104495;61997;44362;48021;69022;169590;196991;250936;223472;185495;160303;137288;90881;55471;40351;42596;62093;152546;181578;237415;218949;173738;145974;125809;69507;41157;25377
1500808: Loulé;274236;254742;181496;139119;111066;104693;150768;266912;318049;425485;376317;315667;283391;237062;191099;140764;106353;101532;147326;268394;313171;413584;370306;303932;267219;247054;169039;136104;99543;89343;132701;261571;302952;413424;371029;305604;261181;237076;150513;117115;64781
1500809: Monchique;8763;9149;6636;1417;1083;7365;6690;11333;13738;20710;16287;9424;8375;5011;5888;2129;1512;2100;4328;8715;10741;20221;17186;10993;7881;7335;3372;1534;1342;1126;2503;8025;10530;19397;15730;8214;5599;6317;3322;1086;789
1500810: Olhão;24834;22430;17154;13676;11831;9618;11234;25420;30579;43301;34873;26226;24409;21045;17635;11146;8398;8958;10881;20506;24449;37197;29685;22008;20671;20255;14028;9573;7536;7224;10076;17938;23848;36617;31005;22774;16956;17491;10565;6453;3259
1500811: Portimão;264750;240015;132922;80657;59054;63794;100374;289039;334961;466219;406153;305067;261663;193256;142978;85258;63835;63216;89722;263402;327288;452908;366057;269172;231973;209622;115836;78244;54649;58274;92183;246696;328594;456373;401168;289636;224062;153239;88970;57497;34114
1500812: São Brás de Alportel;1527;979;665;520;? ?;246;484;1496;2345;3256;2127;1935;1284;? ?;? ?;432;? ?;? ?;? ?;1721;2415;3137;1676;1628;1277;1145;874;474;291;594;? ?;1555;3012;4063;3008;2169;1716;1090;632;? ?;163
1500813: Silves;29576;26302;17253;11940;7826;5974;8310;24070;32531;48810;37071;32350;29049;23507;16518;13610;7966;5835;8066;26501;41354;51168;45733;36359;34375;30210;21954;18147;13221;9397;12223;30265;40360;52469;45402;35442;33515;26446;18130;15167;12809
